"cc","insee","Population.municipale"
"1","Altorf","67008",1273
"2","Avolsheim","67016",728
"3","Bernardswiller","67031",1422
"4","Bischoffsheim","67045",3272
"5","Boersch","67052",2437
"6","Dangolsheim","67085",664
"7","Dinsheim-sur-Bruche","67098",1365
"8","Dorlisheim","67101",2478
"9","Duttlenheim","67112",2876
"10","Ernolsheim-Bruche","67128",1660
"11","Flexbourg","67139",479
"12","Goxwiller","67164",822
"13","Gresswiller","67168",1538
"14","Griesheim-près-Molsheim","67172",2036
"15","Heiligenberg","67188",654
"16","Heiligenstein","67189",966
"17","Innenheim","67223",1115
"18","Krautergersheim","67248",1689
"19","Meistratzheim","67286",1411
"20","Mollkirch","67299",962
"21","Molsheim","67300",9215
"22","Mutzig","67313",5664
"23","Niedernai","67329",1232
"24","Obernai","67348",10731
"25","Ottrott","67368",1634
"26","Rosenwiller","67410",674
"27","Rosheim","67411",4834
"28","Saint-Nabor","67428",476
"29","Valff","67504",1254
